R,G,B,COLOR,CLASS
136,8,8,Blood Red,Red
170,74,68,Brick Red,Red
238,75,43,Bright Red,Red
165,42,42,Brown,Red
128,0,32,Burgundy,Red
110,38,14,Burnt Umber,Red
204,85,0,Burnt Orange,Red
233,116,81,Burnt Sienna,Red
112,41,99,Byzantium,Red
210,43,43,Cadmium Red,Red
196,30,58,Cardinal Red,Red
215,0,64,Carmine,Red
222,49,99,Cerise,Red
210,4,45,Cherry,Red
149,69,53,Chestnut,Red
129,19,49,Claret,Red
248,131,121,Coral Pink,Red
129,65,65,Cordovan,Red
220,20,60,Crimson,Red
139,0,0,Dark Red,Red
123,24,24,Falu Red,Red
154,42,42,Garnet,Red
192,64,0,Mahogany,Red
128,0,0,Maroon,Red
152,104,104,Marsala,Red
119,7,55,Mulberry,Red
255,49,49,Neon Red,Red
74,4,4,Oxblood,Red
250,160,160,Pastel Red,Red
236,88,0,Persimmon,Red
227,83,53,Poppy,Red
169,92,104,Puce,Red
227,11,92,Raspberry,Red
255,0,0,Red,Red
165,42,42,Red Brown,Red
145,56,49,Red Ochre,Red
255,68,51,Red Orange,Red
149,53,83,Red Purple,Red
194,30,86,Rose Red,Red
224,17,95,Ruby Red,Red
128,70,27,Russet,Red
250,128,114,Salmon,Red
255,36,0,Scarlet,Red
250,95,85,Sunset Orange,Red
227,115,94,Terra Cotta,Red
124,48,48,Tuscan Red,Red
99,3,48,Tyrian Purple,Red
164,42,4,Venetian Red,Red
227,66,52,Vermillion,Red
114,47,55,Wine,Red
139,0,0,DarkRed,Red
178,34,34,Firebrick,Red
205,92,92,IndianRed,Red
240,128,128,LightCoral,Red
233,150,122,DarkSalmon,Red
255,160,122,LightSalmon,Red
0,255,255,Aqua,Blue
240,255,255,Azure,Blue
137,207,240,Baby Blue,Blue
0,0,255,Blue,Blue
115,147,179,Blue Gray,Blue
0,150,255,Bright Blue,Blue
0,71,171,Cobalt Blue,Blue
100,149,237,Cornflower Blue,Blue
0,255,255,Cyan,Blue
0,0,139,Dark Blue,Blue
111,143,175,Denim,Blue
20,52,164,Egyptian Blue,Blue
125,249,255,Electric Blue,Blue
96,130,182,Glaucous,Blue
63,0,255,Indigo,Blue
93,63,211,Iris,Blue
173,216,230,Light Blue,Blue
25,25,112,Midnight Blue,Blue
0,0,128,Navy Blue,Blue
31,81,255,Neon Blue,Blue
167,199,231,Pastel Blue,Blue
204,204,255,Periwinkle,Blue
182,208,226,Powder Blue,Blue
150,222,209,Robin Egg Blue,Blue
65,105,225,Royal Blue,Blue
15,82,186,Sapphire Blue,Blue
135,206,235,Sky Blue,Blue
70,130,180,Steel Blue,Blue
4,55,242,Ultramarine,Blue
8,24,168,Zaffre,Blue
127,255,212,Aquamarine,Green
69,75,27,Army Green,Green
8,143,143,Blue Green,Green
170,255,0,Bright Green,Green
95,158,160,Cadet Blue,Green
9,121,105,Cadmium Green,Green
175,225,175,Celadon,Green
223,255,0,Chartreuse,Green
228,208,10,Citrine,Green
2,48,32,Dark Green,Green
80,200,120,Emerald Green,Green
95,133,117,Eucalyptus,Green
79,121,66,Fern Green,Green
34,139,34,Forest Green,Green
124,252,0,Grass Green,Green
0,128,0,Green,Green
53,94,59,Hunter Green,Green
0,163,108,Jade,Green
42,170,138,Jungle Green,Green
76,187,23,Kelly Green,Green
144,238,144,Light Green,Green
50,205,50,Lime Green,Green
71,135,120,Lincoln Green,Green
11,218,81,Malachite,Green
152,251,152,Mint Green,Green
138,154,91,Moss Green,Green
15,255,80,Neon Green,Green
236,255,220,Nyanza,Green
128,128,0,Olive Green,Green
193,225,193,Pastel Green,Green
201,204,63,Pear,Green
180,196,36,Peridot,Green
147,197,114,Pistachio,Green
138,154,91,Sage Green,Green
46,139,87,Sea Green,Green
159,226,191,Seafoam Green,Green
0,158,96,Shamrock Green,Green
0,255,127,Spring Green,Green
0,128,128,Teal,Green
64,224,208,Turquoise,Green
196,180,84,Vegas Gold,Green
64,181,173,Verdigris,Green
64,130,109,Viridian,Green
